ID;OrgId;Question
1;76d23487-98d5-4493-a604-b13bd6d46cca;what county is Stratton Maine in
2;eacd499d-f6c3-4966-b8ce-a77b504d4d9b;what airport is in Wilder Kentucky
3;ed0af7c2-13f2-46a0-9450-255798239d65;what airport is near where ncl Docks in New York
4;0f296c17-efb6-4892-af81-0bf2ae723b55;what Alabama county is Guntersville in
5;f0726c1b-1c2e-4528-8db0-e2101108a43a;what are some music venues in Cleveland
6;0845b070-6c68-4990-aea2-8c896ce7d745;what are the best ariports in southern Utah
7;3a1d5e62-1415-40dd-b101-9995b8325799;what area is the Revere Hotel in
8;b3c2d85d-306f-41b5-b10e-081a48b11aaf;what bay is Aberdeen Proving Ground near
9;c06a1d6b-2801-4c3e-804b-f0b3c047008c;what beach would be good in Texas
10;3ac77bfa-3efe-4fbf-8528-f1174fb55719;what building code does Michigan use
11;a9ee2a00-8bc9-46d7-967b-ca00978890f5;what business is closing in Kansas City
12;1f42b26d-e8fd-4715-8dd3-6902804fff0b;what city are in Venango County
13;e174b429-5ea3-43b4-8003-c866fa120966;what city are the concentration camp in Poland
14;cb8c7ed6-5c50-4cc2-9923-fcfa4a821c85;what city is Big Creek Oregon
15;ca1496ec-d972-4f4f-b9e0-2fa9ff025761;what city is Olongapo City
16;4dfa857e-b9e1-47d0-a22b-dd4c8619c0cb;what city is Pine Grove
17;72380681-acdb-4171-a5bd-d86a4dc4807c;what city is Shelby County
18;a3c80a16-a706-40a9-9773-9d74188be822;what city is St Clair county Illinois
19;6095747c-08bc-40fb-9c9e-44f2d29c7908;what city is State Fair Community College in Missouri
20;38d7e873-d78d-43a1-aad9-6429e877313d;what city is the Jersey Shore Boardwalk in
21;6d76d1e6-905e-4081-86f7-89f2bd546903;what city were Bonnie and Clyde killed in
22;7fb1724d-7082-4114-a398-3abc6d986112;what continent is mount Merapi in
23;50ee5718-433c-4082-9d2f-b95ca305c8da;what continent is Nicaragua located
24;0c62977a-4f33-4d20-a96b-c32b6fcf82ee;what county are the Amish from
25;d4b17ce1-69e2-4d85-9255-33f912007809;what county Brisbane California
26;1b23305b-335e-4abd-8933-1f33275b64b6;what county Frytown Iowa
27;1cc4d336-1a2f-4a5b-b082-5d2d7f98a826;what county hurricane West Virginia
28;45c52948-f05a-49fa-ae72-94931e25688a;what county in North Carolina is Ivanhoe located
