intent,qid
venues,5
ariports,6
score,347
tax,348
address,349
address,350
address,351
code,352
aquarium,353
bridge,354
state,355
county,356
county,357
county,358
county,359
county,360
county,361
forecast,362
building,363
hotel,364
hotel,365
location,367
location,368
latitude,369
Thoroughfare,370
name,371
region,372
state,373
state,374
address,375
town,450
name,451
name,452
restaurant,453
capital,888
county,897
names,944
region,1134
county,1332
airport,1353
country,1377
District,1464
name,1510
seat,1517
address,1552
county,1565
point,1574
building,1628
county,1635
province,1682
city,1693
country,1704
island,1769
code,1773
airport,1807
county,1819
ocean,1834
location,1837
region,1897
location,1907
name,1918
city,1938
county,1956
town,1958
place,1966
attraction,1992
city,2187
point,2199
airport,2208
city,2250
capital,2278
called,2283
code,2328
name,2355
Museum,2399
city,2403
place,2424
landfill,2426
place,2437
point,2438
zone,2465
county,2469
county,2479
code,2496
level,2506
county,2540
place,2614
region,2615
name,2637
city,2642
island,2651
airport,2817
code,2850
region,2978
place,2982
city,3025
area,3076
ariports,3198
country,3314
Landmarks,3392
located,3456
Airport,3481
airport,3746
center,3813
called,3920
county,3939
Islands,4080
region,4119
county,4145
city,4153
city,4189
like,4215
street,4219
off,4267
location,4276
street,4341
region,4349
fort,4352
attraction,4355
airport,4378
code,4389
airport,4451
county,4463
abbreviation,5266
region,5316
borders,5425
code,5440
county,5650
airport,5778
parts,5820
Town,5869
county,5882
airport,5890
state,5994
called,6084
city,6125
region,6167
province,6206
mixes,6287
district,6292
names,6379
north,6509
county,6674
Islands,6783
Creek,6854
located,6965
airport,7020
called,7067
Landmarks,7269
country,7272
tax,7279
abbreviation,7305
area,7318
Park,7358
city,7371
Mansion,7375
Cathedral,7383
zone,7402
airport,7406
airport,7407
state,7408
attractions,7412
county,7427
county,7429
county,7431
county,7433
county,7435
county,7436
county,7438
county,7439
seat,7440
seat,7442
seat,7444
level,7590
longitude,7632
longitude,7633
latitude,7649
longitude,7650
region,7703
place,7715
Islands,7734
name,7737
name,7740
name,7743
name,7748
airport,7760
state,7776
province,7839
States,7871
route,7907
state,7916
state,7917
tower,7930
terminal,7946
zone,7949
zone,7950
zone,7951
province,7956
building,7959
waterway,7972
county,8032
attractions,8411
region,8452
brought,8575
country,8655
city,8694
Citadel,8741
settlement,8767
country,8772
territory,8773
region,8848
near,8858
cost,8863
water,8910
continent,8917
island,9036
waterfall,9049
point,9060
capital,9143
City,9159
region,9166
point,9171
LIghthouse,9184
called,9205
county,9242
residence,9255
fair,9312
city,9320
airport,9327
capital,9364
name,9371
name,9406
new,9429
code,9450
capital,9497
destination,9508
seat,9515
address,9585
area,9589
town,9594
town,9609
east,9643
Landmark,9764
county,9816
county,9935
point,10114
