name;addres;place;location;airport;county;center;city;abbreviation;beach;parish;terminal;time;route;country;island;landmark;point;region;acreage;area;boundary;ceiling;form;level;material;mile;seat;significance;state;water;zone;building;restaurant;waterway;cost;hotel;station
of;0.96;0.333333333333333;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1;1;0;0;0;0;0;0
for;0;0.555555555555556;0;0.2;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
to;0;0.111111111111111;0.833333333333333;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;1;1;1
in;0.02;0;0;0;0;1;0;0.5;0;0;0;0;0;0;1;1;1;1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
at;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
by;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
from;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
given;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
on;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
that;0;0;0.166666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
