restaurant;place;bridge;casino;Hospital;building;visit;park;Highlands;need;state;located;Gorge;Mall;hospital;Europe;airport;cemetery;plant;live;part;ground;city;Volcano;admissions;Circus;irs;type;Peninsula;secede;Ocean;battle;inmates;Hotel;states;found;airspace;white;President;theater;Strip;base;Bay;garage;territory;usa;style;Pines;Street;Inn;facility;clinic;go;County
logues;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
hotel;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
remodeled;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Memorial;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
strong;0.02;0;0;0;0.0833333333333333;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0.0833333333333333;0;0
frame;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
public;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
largest;0.02;0;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0.0263157894736842;0;0;0.0256410256410256;0.02;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.024390243902439;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0.0263157894736842;0.0263157894736842;0;0;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0.0263157894736842;0.0263157894736842;0.0263157894736842;0;0.0263157894736842;0;0;0;0;0
Central;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
you;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
